word,meaning,pos,language_id,meaning_language_id,dictionary_id,
ಅಂಘ್ರಿಜಲ ,"ಗಂಗೆ, ಪಾದೋದಕ",NULL,1,1,6,
ಅಂಘ್ರಿಪ ,"ಪಾದದಿಂದ ನೀರು ಕುಡಿಯುವ-ವೃಕ್ಷ, ಮರ",NULL,1,1,6,
ಅಂಘ್ರಿಸುಯುಗ್ಮ ,ಪಾದಕಮಲಗಳು,NULL,1,1,6,
ಅಂಚಲ ,"ಸೆರಗು, ಅಂಚು, ಕೊನೆ (ತುದಿ)",NULL,1,1,6,
ಅಂಚಿಗಂಚು ,ಕೊಟ್ಟಕೊನೆ,NULL,1,1,6,
ಅಂಚಿತ ,"ಮನೋಹರವಾದ, ಹೊಳೆಯುವ; ಪ್ರಸಿದ್ಧವಾದ",NULL,1,1,6,
ಅಂಚೆ ,ಹಂಸ,NULL,1,1,6,
ಅಂಚೆಗಮನ ,"ವಾಯುದೇವರು, ಬ್ರಹ್ಮದೇವರು",NULL,1,1,6,
ಅಂಚೆಗಮನೆ ,"ಹಂಸಗಮನೆ, ಹಂಸದಂತೆ ನಡೆಯುವವಳು; ಸರಸ್ವತಿ, ಹಂಸವಾಹನೆ",NULL,1,1,6,
ಅಂಚೆದುಪ್ಪಳ ,ಹಂಸದ ಮೆತ್ತನೆಯ ಕೂದಲು/ಗರಿ,NULL,1,1,6,
ಅಂಚೆವಾಹನ ,ಹಂಸವಾಹನ,NULL,1,1,6,
ಅಂಜನ ,"ಕಾಡಿಗೆ, ಕಪ್ಪು; ನಿಧಿ-ನಿಕ್ಷೇಪಾದಿಗಳನ್ನು ಕಂಡು ಹಿಡಿಯಲು ಕಣ್ಣಿಗೆ ಹಚ್ಚಿಕೊಳ್ಳುವ ಮಂತ್ರಪೂತವಾದ ಕಪ್ಪು; ಅದೃಶ್ಯನಾಗುವುದೇ ಮೊದಲಾದ ಅದ್ಭುತ ಶಕ್ತಿಯನ್ನು ಕೊಡುವ ಮಂತ್ರಪೂತವಾದ ಕಪ್ಪು; ಆಂಜನೇಯನ ತಾಯಿ",NULL,1,1,6,
ಅಂಜನಾಭಖಂಡ ,ಹನುಮನುದಿಸಿದ ಖಂಡ; ಭರತಖಂಡ,NULL,1,1,6,
ಅಂಜನಾಸುತ ,"ಅಂಜನೆಯ ಮಗ, ಆಂಜನೇಯ",NULL,1,1,6,
ಅಂಜನೆ ,ಆಂಜನೇಯನ ತಾಯಿ,NULL,1,1,6,
ಅಂಜಲಿ ,"ಕೈಬೊಗಸೆ, ಜೋಡಿಸಿದ ಕೈಗಳು",NULL,1,1,6,
ಅಂಜಲೀಬದ್ಧ ,ಕೈಮುಗಿದಿರುವಿಕೆ,NULL,1,1,6,
ಅಂಟಣಿಸು ,"ಹೊಂದಿಸು, ಕೂಡಿಸು",NULL,1,1,6,
ಅಂಡ ,"ಶಿವ, ವಿಶ್ವ; ತತ್ತಿ, ಮೊಟ್ಟೆ",NULL,1,1,6,
ಅಂಡಕಬಾಹ ,ಬ್ರಹ್ಮಾಂಡಬಾಹ,NULL,1,1,6,
ಅಂಡಜ ,"ಬ್ರಹ್ಮ, ಗರುಡ",NULL,1,1,6,
ಅಂಡಜಗಮನ ,ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಡಜಧ್ವಜ ,"ಗರುಡನ ಬಾವುಟ, ಗರುಡಧ್ವಜನಾದ ಶ್ರೀಹರಿ",NULL,1,1,6,
ಅಂಡಜರಾಜವರೂಥ ,ಪಕ್ಷಿರಾಜನಾದ ಗರುಡನನ್ನೇ ವಾಹನವಾಗಿ ಉಳ್ಳಾತ-ವಿಷ್ಣು,NULL,1,1,6,
"ಅಂಡಜವಾಹನ, ಅಂಡಜಾಸನ ",ಗರುಡವಾಹನ-ವಿಷ್ಣು,NULL,1,1,6,
ಅಂಡಜಾಧಿಪ ,ಪಕ್ಷಿರಾಜ-ಗರುಡ,NULL,1,1,6,
ಅಂಡಲೆ ,"ಕಾಡು, ಹಟಮಾಡು;  ಕ್ಲೇಶಪಡು, ಗೊತ್ತು ಗುರಿಯಿಲ್ಲದೆ ಅಲೆದಾಡು; ನೋಯಿಸು",NULL,1,1,6,
ಅಂಡೋದಕ ,ಬ್ರಹ್ಮಾಂಡವನ್ನು ಬಳಸಿದ ನೀರು,NULL,1,1,6,
"ಅಂತಃಸ್ಥ, ಅಂತಸ್ಥ ","ಒಳಗಿನ, ರಹಸ್ಯ, ಅಡಕವಾದ",NULL,1,1,6,
ಅಂತಕ ,ಯಮ,NULL,1,1,6,
ಅಂತಕಭಯ ,"ಮೃತ್ಯುಭಯ, ಯಮನಭಯ",NULL,1,1,6,
ಅಂತಕಾಪುರ ,ಯಮಪುರಿ,NULL,1,1,6,
